word_id,english,portuguese,reasons
41,dicas para aprender os sons do ipa,"existem no português, como /θ/, /ð/, /ŋ/, e /æ/.",english:has spaces
330,palavra em,Transcrição IPA Tradução em Português,english:has spaces
552,partes menores,brɛkfəst,english:has spaces
594,brute force,força bruta,english:has spaces
873,coffee shop,café [lanchonete],english:has spaces
879,cold war,guerra fria,english:has spaces
2327,how many,quantos,english:has spaces
2328,how much,quanto,english:has spaces
1433,double bed,cama de casal,english:has spaces
1512,e-book reader,dispositivo para leitura digital,english:has spaces
2345,ice cream,sorvete,english:has spaces
1651,etc. (et cetera),"etc., e as demais coisas",english:has spaces
1757,letra f,Pronúncia,english:has spaces
1919,flower shop,floricultura,english:has spaces
2069,letra g,Pronúncia,english:has spaces
2035,front desk,recepção,english:has spaces
2084,gas station,posto de gasolina,english:has spaces
2209,letra h,Pronúncia Tradução,english:has spaces
2223,colocar em desvantagem,hændəl,english:has spaces
2301,home office,local da casa usado como escritório para trabalhar,english:has spaces
