token,ok,status_code,error
accustom,no,404,
acesso,no,404,
acima,no,404,
africa,no,404,
african,no,404,
afterward,yes,200,
afterwards,yes,200,
airplane,yes,200,
amador,no,404,
america,no,429,
american,no,429,
april,no,404,
arabia,no,429,
arabian,no,429,
argentina,no,429,
argentinean,no,429,
argumentar,no,429,
arrepio,no,429,
arrumar,no,429,
asia,no,429,
asian,no,429,
australia,no,429,
australian,no,429,
be,no,429,
behalf,no,429,
bicicleta,no,429,
brazilian,no,429,
british,no,429,
caloria,no,429,
camelo,no,429,
caminho,no,429,
canada,no,429,
canadian,no,429,
cansado,no,429,
cavalgar,no,429,
check-out,no,429,
chinese,no,429,
christmas,no,429,
combinar,no,429,
completamente,no,429,
compor,no,429,
compreender,no,429,
compromisso,no,429,
computador,no,429,
computar,no,429,
conceito,no,429,
considerar,no,429,
contexto,no,429,
continente,no,429,
continuar,no,429,
contratuais,no,429,
controle,no,429,
correio,no,429,
couro,no,429,
cunhado,no,429,
december,no,429,
depender,no,429,
deprimente,no,429,
deprimir,no,429,
desligado,no,429,
dinamite,no,429,
disputar,no,429,
distrito,no,429,
dizer,no,429,
dose,no,429,
e-book,no,429,
egypt,no,429,
egyptian,no,429,
emocionante,no,429,
empolgante,no,429,
encorajamento,no,429,
england,no,404,
entusiasmo,no,404,
equipamento,no,404,
eu,no,404,
europe,no,404,
european,no,404,
every,no,404,
exportar,no,404,
fachada,no,404,
fahrenheit,no,404,
falecimento,no,404,
february,no,404,
flap,no,404,
for,no,404,
france,no,404,
friday,no,404,
gabar-se,no,404,
gerenciamento,no,404,
germany,no,404,
greece,no,404,
hierarquizar,no,404,
honesto,no,404,
honra,no,404,
iludir,no,404,
inconstante,no,429,
independente,no,404,
india,no,429,
indian,no,429,
internacional,no,429,
interpretar,no,429,
interromper,no,429,
intervalo,no,429,
investigar,no,429,
ipa,no,429,
is,no,429,
italian,no,429,
italy,no,429,
january,no,429,
japanese,no,429,
july,no,429,
june,no,429,
labareda,no,429,
lanterna,no,429,
latin,no,429,
levado,no,429,
lives,no,429,
localizar,no,429,
look,no,429,
maluco,no,429,
marido,no,429,
martelo,no,429,
mel,no,429,
mencionar,no,429,
mesmos,no,429,
mesmosas,no,429,
metropolitano,no,429,
mexican,no,429,
monday,no,429,
motivo,no,429,
motocicleta,no,429,
motorizado,no,429,
movimento,no,429,
mrs,no,429,
net,no,429,
nivelado,no,429,
nora,no,429,
november,no,429,
october,no,429,
ordenar,no,429,
our,no,429,
palavra,no,429,
para-brisa,no,429,
partida,no,429,
passatempo,no,429,
perturbar,no,429,
pesquisador,no,429,
phase,no,429,
plane,no,429,
pneu,no,429,
portugal,no,429,
portuguese,no,429,
postar,no,429,
precipitado,no,429,
prefeitura,no,429,
presentear,no,429,
preservar,no,429,
presidente,no,404,
pressentimento,no,429,
privilegiar,no,429,
probabilidade,no,429,
processo,no,429,
progredir,no,429,
publicidade,no,429,
quadril,no,404,
quarta-feira,no,404,
rape,no,404,
rapist,no,404,
relaxamento,no,404,
repentinamente,no,404,
russia,no,404,
russian,no,404,
sadio,no,404,
satisfazer,no,404,
saturday,no,404,
saxofone,no,404,
september,no,404,
sequestrar,no,404,
smoothy,no,404,
sogra,no,404,
spain,no,404,
stor,no,404,
subjugar,no,404,
suicide,no,404,
sunday,no,404,
surpreendente,no,404,
tecelagem,no,404,
their,no,404,
thousandth,no,404,
thursday,no,429,
tight,no,429,
touch,no,429,
tow,no,429,
tuesday,no,429,
unir,no,429,
universidade,no,429,
universo,no,429,
viajante,no,429,
vinho,no,429,
was,no,429,
your,no,429,
